EcoRestore_approximate_location,Reach,Latitude,Longitude,Date,Time_of_Day,sm_boat,med_boat,lrg_boat,bank_angler,scientist,cars,notes
North Delta,Stair Step,38.329067,-121.676218,10/24/22,unknown,0,0,0,0,0,0,no notes
North Delta,Baby Marsh,38.3355,-121.671346,10/24/22,unknown,0,0,0,0,0,0,no notes
North Delta,Prospect Slough,38.350547,-121.644524,10/24/22,unknown,0,2,0,0,0,0,no notes
North Delta,Lindsey Slough,38.24982,-121.713117,11/16/22,unknown,0,1,0,0,0,3,1 ATV (Cattle Grazer); all day rain - often windy
North Delta,lower Cache Slough,38.184603,-121.661433,1/17/23,unknown,0,1,0,0,0,0,no notes
North Delta,Lower Lindsey Slough,38.24982,-121.713117,1/17/23,unknown,0,0,0,1,0,8,no notes
North Delta,Barker Slough,38.260523,-121.775254,1/17/23,unknown,0,0,0,0,0,1,no notes
North Delta,Calhoun Cut,38.258672,-121.803024,1/17/23,unknown,0,0,0,0,0,0,"No People, Overcast and drizzles"
North Delta,Calhoun Cut,38.258672,-121.803024,2/24/23,unknown,0,0,0,0,0,0,1 ATV
North Delta,Barker Slough,38.260523,-121.775254,2/24/23,unknown,0,0,0,0,0,0,1 ATV
North Delta,Lower Cache Slough,38.184603,-121.661433,2/24/23,unknown,0,0,0,0,1,0,1 USGS
Honker Bay/Chipps Island,Lower Sacramento (Brannan Island),38.109048,-121.708086,12/1/22,unknown,35,4,1,0,0,0,no notes
Honker Bay/Chipps Island,Honker Bay,38.075029,-121.927718,12/1/22,unknown,0,1,1,0,1,0,1 fires and 2 instances of dumping
Twitchell Island,levee,38.096002,-121.674498,3/13/23,morning,0,5,0,0,0,4,"1 CDFW trawler, 4 RD trucks, 1 PG&E truck, 1 car"
Twitchell Island,Twitchell Island Habitat Enhancement Site,38.100665,-121.641457,3/13/23,morning,0,0,0,0,1,0,Himself
Twitchell Island,Twitchell Habitat Setback Levee,38.096002,-121.674498,3/13/23,morning,0,0,0,0,2,0,no notes
Sherman Island,Truck Whales Mouth Scour Pond Habitat Enhancement Project,38.034339,-121.761946,3/13/23,unknown,0,0,0,0,0,2,1 RD; 1 PG&E
Sherman Island,Sherman Habitat Setback Levee,38.035739,-121.776074,3/13/23,unknown,0,0,0,0,0,1,Same PG&E truck as above
